Time	date	I	Recovered	Death	R	S
1	02_march	1	0	0	0	38999999
2	03_march	1	0	0	0	38999999
3	04_march	1	0	0	0	38999999
4	05_march	1	0	0	0	38999999
5	06_march	1	0	0	0	38999999
6	07_march	1	0	0	0	38999999
7	08_march	1	0	0	0	38999999
8	09_march	1	0	0	0	38999999
9	10_march	1	0	0	0	38999999
10	11_march	1	0	0	0	38999999
11	12_march	1	0	0	0	38999999
12	13_march	1	0	0	0	38999999
13	14_march	2	0	0	0	38999998
14	15_march	3	0	0	0	38999997
15	16_march	4	0	0	0	38999996
16	17_march	5	0	0	0	38999995
17	18_march	13	0	0	0	38999987
18	19_march	16	0	0	0	38999984
19	20_march	19	0	0	0	38999981
20	21_march	21	0	0	0	38999979
21	22_march	27	0	0	0	38999973
22	23_march	33	0	0	0	38999967
23	24_march	39	0	0	0	38999961
24	25_march	41	0	0	0	38999959
25	26_march	45	0	0	0	38999955
26	27_march	59	0	0	0	38999941
27	28_march	67	0	0	0	38999933
28	29_march	68	1	1	2	38999930
29	30_march	57	14	6	20	38999923
30	31_march	77	14	6	20	38999903
31	01_april	104	14	9	23	38999873
32	02_april	128	17	9	26	38999846
33	03_april	186	32	11	43	38999771
34	04_april	228	33	11	44	38999728
35	05_april	290	33	11	44	38999666
36	06_april	308	45	11	56	38999636
37	07_april	348	45	11	56	38999596
38	08_april	397	45	11	56	38999547
39	09_april	414	45	12	57	38999529
40	10_april	430	45	12	57	38999513
41	11_april	393	96	14	110	38999497
42	12_april	412	103	16	119	38999469
43	13_april	472	103	17	120	38999408
44	14_april	516	110	18	128	38999356
45	15_april	514	118	18	136	38999350
46	16_april	496	186	18	204	38999300
47	17_april	562	186	18	204	38999234
48	18_april	605	186	18	204	38999191
49	19_april	651	186	21	207	38999142
50	20_april	663	186	23	209	38999128
51	21_april	711	194	23	212	38999077
52	22_april	725	194	24	213	38999062
53	23_april	693	252	25	277	38999030
54	24_april	667	291	25	316	38999017
55	25_april	658	307	25	332	38999010
56	26_april	660	316	25	341	38998999
57	27_april	646	332	25	357	38998997
58	28_april	610	374	25	399	38998991
59	29_april	582	409	25	434	38998984
60	30_april	568	442	28	470	38998962
61	01_may	552	464	28	492	38998956
62	02_may	533	499	29	528	38998939
63	03_may	508	545	29	574	38998918
64	04_may	471	585	29	614	38998915
65	05_may	439	628	29	657	38998904
66	06_may	430	648	29	677	38998893
67	07_may	400	693	29	722	38998878
68	08_may	376	727	29	756	38998868
69	09_may	382	751	30	781	38998837
70	10_may	415	751	30	781	38998804
71	11_may	444	801	30	831	38998725
72	12_may	472	822	32	854	38998674
73	13_may	394	939	34	973	38998633
74	14_may	428	952	34	986	38998586
75	15_may	461	959	34	993	38998546
76	16_may	504	971	34	1005	38998491
77	17_may	535	992	34	1026	38998439
78	18_may	556	1002	34	1036	38998408
79	19_may	585	1011	38	1049	38998366
80	20_may	608	1013	40	1053	3899833
81	21_may	618	1036	45	1081	38998301
82	22_may	670	1043	48	1091	38998239
83	23_may	696	1068	49	1117	38998187
84	24_may	709	1092	53	1145	38998146
85	25_may	700	1164	56	1220	38998080
86	26_may	691	1284	57	1341	38997968
87	27_may	755	1321	63	1384	38997861
88	28_may	844	1345	67	1412	38997744
89	29_may	973	1381	71	1452	38997575
90	30_may	1010	1412	77	1489	38997501
91	31_may	1188	1428	82	1510	38997302
92	01_june	1213	1491	88	1579	38997208
93	02_june	1273	1526	92	1618	38997109
94	03_june	1365	1556	99	1655	38996980
95	04_june	1455	1587	105	1692	38996853
96	05_june	1550	1627	113	1740	38996710
97	06_june	1663	1710	123	1833	38996504
98	07_june	1771	1742	137	1879	38996350
99	08_june	1858	1742	142	1884	38996258
100	09_june	2030	1742	148	1890	38996080
101	10_june	2138	1817	156	1973	38995889
102	11_june	2162	1993	165	2158	38995680
103	12_june	2032	2278	174	2452	38995516
104	13_june	2203	2352	182	2534	38995263
105	14_june	2412	2377	185	2562	38995026
106	15_june	2240	2766	187	2953	38994807
107	16_june	2188	3027	191	3218	38994594
108	17_june	2412	3071	192	3263	38994325
109	18_june	2531	3301	195	3496	38993973
110	19_june	2976	3352	198	3550	38993474
111	20_june	3363	3506	203	3709	38992928
112	21_june	3861	3731	210	3941	38992198
113	22_june	4452	4005	217	4222	38991326
114	23_june	5109	4224	220	4444	38990447
115	24_june	5858	4361	225	4586	38989556
